d,mu_norm,n_obs,start_sim,n_sim,B,equal_space_mu
1,0,100,1,200,99,0
1,1,100,1,200,99,0
1,2,100,1,200,99,0
1,2.2,100,1,200,99,0
1,2.4,100,1,200,99,0
1,2.6,100,1,200,99,0
1,2.8,100,1,200,99,0
1,3,100,1,200,99,0
1,3.2,100,1,200,99,0
1,3.4,100,1,200,99,0
1,3.6,100,1,200,99,0
1,3.8,100,1,200,99,0
1,4,100,1,200,99,0
1,4.2,100,1,200,99,0
1,4.4,100,1,200,99,0
1,4.6,100,1,200,99,0
1,4.8,100,1,200,99,0
1,5,100,1,200,99,0
1,5.2,100,1,200,99,0
1,5.4,100,1,200,99,0
1,5.6,100,1,200,99,0
1,5.8,100,1,200,99,0
1,6,100,1,200,99,0
1,7,100,1,200,99,0
1,8,100,1,200,99,0
1,9,100,1,200,99,0
1,10,100,1,200,99,0
1,20,100,1,200,99,0
1,30,100,1,200,99,0
1,40,100,1,200,99,0
2,0,100,1,200,99,0
2,1,100,1,200,99,0
2,2,100,1,200,99,0
2,2.2,100,1,200,99,0
2,2.4,100,1,200,99,0
2,2.6,100,1,200,99,0
2,2.8,100,1,200,99,0
2,3,100,1,200,99,0
2,3.2,100,1,200,99,0
2,3.4,100,1,200,99,0
2,3.6,100,1,200,99,0
2,3.8,100,1,200,99,0
2,4,100,1,200,99,0
2,4.2,100,1,200,99,0
2,4.4,100,1,200,99,0
2,4.6,100,1,200,99,0
2,4.8,100,1,200,99,0
2,5,100,1,200,99,0
2,5.2,100,1,200,99,0
2,5.4,100,1,200,99,0
2,5.6,100,1,200,99,0
2,5.8,100,1,200,99,0
2,6,100,1,200,99,0
2,7,100,1,200,99,0
2,8,100,1,200,99,0
2,9,100,1,200,99,0
2,10,100,1,200,99,0
2,20,100,1,200,99,0
2,30,100,1,200,99,0
2,40,100,1,200,99,0
3,0,100,1,200,99,0
3,1,100,1,200,99,0
3,2,100,1,200,99,0
3,2.2,100,1,200,99,0
3,2.4,100,1,200,99,0
3,2.6,100,1,200,99,0
3,2.8,100,1,200,99,0
3,3,100,1,200,99,0
3,3.2,100,1,200,99,0
3,3.4,100,1,200,99,0
3,3.6,100,1,200,99,0
3,3.8,100,1,200,99,0
3,4,100,1,200,99,0
3,4.2,100,1,200,99,0
3,4.4,100,1,200,99,0
3,4.6,100,1,200,99,0
3,4.8,100,1,200,99,0
3,5,100,1,200,99,0
3,5.2,100,1,200,99,0
3,5.4,100,1,200,99,0
3,5.6,100,1,200,99,0
3,5.8,100,1,200,99,0
3,6,100,1,200,99,0
3,7,100,1,200,99,0
3,8,100,1,200,99,0
3,9,100,1,200,99,0
3,10,100,1,200,99,0
3,20,100,1,200,99,0
3,30,100,1,200,99,0
3,40,100,1,200,99,0
4,0,100,1,200,99,0
4,1,100,1,200,99,0
4,2,100,1,200,99,0
4,3,100,1,200,99,0
4,4,100,1,200,99,0
4,5,100,1,200,99,0
4,6,100,1,200,99,0
4,7,100,1,200,99,0
4,8,100,1,200,99,0
4,9,100,1,200,99,0
4,10,100,1,200,99,0
4,20,100,1,200,99,0
4,30,100,1,200,99,0
4,40,100,1,200,99,0
